,questions,answers
2417,"every time we eat out, it's an adventure.","last time, we got seats next to the kitchen."
2418,"last time, we got seats next to the kitchen.",we'll never go there again.
2419,is this table okay?,"no, it's too close to the kitchen door."
2420,"no, it's too close to the kitchen door.",how about this table?
2421,how about this table?,"no, it's too close to the front door."
2422,"no, it's too close to the front door.",this looks like a nice table.
2423,this looks like a nice table.,"no, it's too close to the salad bar."
2424,"no, it's too close to the salad bar.","okay, i give up."
2425,"okay, i give up.","well, there is one good table."
2426,"well, there is one good table.",great. which one?
2427,great. which one?,that one. a group of eight just sat down at it.
2428,i don't believe the art world.,what is it this time?
2429,what is it this time?,an andy warhol drawing.
2430,an andy warhol drawing.,he's a famous artist.
2431,he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.
2432,he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?
2433,did he sign it?,yes.
2434,yes.,is it beautiful?
2435,is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!
2436,it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?
2437,so it's not worth much?,"only about $30,000."
2438,"only about $30,000.","without the food stains, it would probably be worth more."
2439,can we go to the baseball game?,of course.
2440,of course.,i love baseball.
2441,i love baseball.,so do i.
2442,so do i.,i love to eat the peanuts.
2443,i love to eat the peanuts.,i love to eat the hot dogs.
2444,i love to eat the hot dogs.,i hope we'll see a home run.
2445,i hope we'll see a home run.,i hope we'll catch a foul ball.
2446,i hope we'll catch a foul ball.,bring a jacket.
2447,bring a jacket.,yes. it gets a little cool at night.
2448,yes. it gets a little cool at night.,bring a glove to catch a foul ball.
2449,bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.
2450,golf is a silly game.,it certainly is.
2451,it certainly is.,you hit a white ball.
2452,you hit a white ball.,and then you chase it.
2453,and then you chase it.,and then you hit it again.
2454,and then you hit it again.,"finally, you put the ball into a hole in the ground."
2455,"finally, you put the ball into a hole in the ground.","you do this 18 times, because there are 18 holes."
2456,"you do this 18 times, because there are 18 holes.",what's the point?
2457,what's the point?,how can it be fun?
2458,how can it be fun?,they pay money to play this silly game!
2459,they pay money to play this silly game!,i think golfers have a mental problem.
2460,i think golfers have a mental problem.,i think they're nuts.
2461,do you want to go fishing?,yes. that's a good idea.
2462,yes. that's a good idea.,where do you want to go?
2463,where do you want to go?,we can go to the river.
2464,we can go to the river.,or we can go to the lake.
2465,or we can go to the lake.,or we can go to the ocean.
2466,or we can go to the ocean.,let's go to the lake.
2467,let's go to the lake.,yes. the lake is only 10 miles away.
2468,yes. the lake is only 10 miles away.,we can be there in 20 minutes.
2469,we can be there in 20 minutes.,i'll get our fishing rods.
2470,i'll get our fishing rods.,i'll get the bait.
2471,i'll get the bait.,we'll have fresh fish for dinner!
2472,baseball is fun.,i like to hit the ball.
2473,i like to hit the ball.,i like to run around the bases.
2474,i like to run around the bases.,i like to slide into the bases.
2475,i like to slide into the bases.,yeah. it's a lot of fun to slide.
2476,yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.
2477,i want to be a baseball player when i grow up.,me too. i want to play for the yankees.
2478,me too. i want to play for the yankees.,not me. i want to play for the dodgers.
2479,not me. i want to play for the dodgers.,we have to practice every day.
2480,we have to practice every day.,i don't like practice.
2481,i don't like practice.,me neither. it's boring.
2482,me neither. it's boring.,but practice makes perfect.
2483,let's go jogging.,that's a good idea.
2484,that's a good idea.,i bought some new shoes.
2485,i bought some new shoes.,are they comfortable?
2486,are they comfortable?,they're very comfortable.
2487,they're very comfortable.,how much were they?
2488,how much were they?,they were on sale for $80.
2489,they were on sale for $80.,do they help you run faster?
2490,do they help you run faster?,"no, but my feet don't hurt anymore."
2491,"no, but my feet don't hurt anymore.",then they're worth every penny.
2492,then they're worth every penny.,you might want to buy a pair.
2493,you might want to buy a pair.,i'll wait until i wear this pair out.
2494,tiger is the greatest golfer in the world.,you can say that again.
2495,you can say that again.,but i'm worried about tiger.
2496,but i'm worried about tiger.,why is that?
2497,why is that?,because he likes to scuba dive.
2498,because he likes to scuba dive.,what's wrong with that?
2499,what's wrong with that?,it can be dangerous.
2500,it can be dangerous.,you mean he could drown.
2501,you mean he could drown.,he shouldn't scuba dive until he retires.
2502,he shouldn't scuba dive until he retires.,but he dives to relax.
2503,but he dives to relax.,"he might relax, but it makes me nervous."
2504,"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
2505,did you watch that golf tournament?,the one that tiger won?
2506,the one that tiger won?,how did he do it?
2507,how did he do it?,it was nothing for him.
2508,it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
2509,he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
2510,he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
2511,i think he is from outer space.,no human could possibly play golf that well.
2512,no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
2513,"whenever he needs a shot to win a tournament, he makes that shot.",no human can do that.
2514,no human can do that.,somebody should check his birth record.
2515,somebody should check his birth record.,i bet it says he was born on mars.
2516,who's the greatest baseball player?,there are so many great players.
2517,there are so many great players.,"yes, but who is the greatest?"
2518,"yes, but who is the greatest?",i'd have to say babe ruth.
2519,i'd have to say babe ruth.,most people would say that.
2520,most people would say that.,he changed the game.
2521,he changed the game.,"yes, he made the home run popular."
2522,"yes, he made the home run popular.","everybody loved him, all over the nation."
2523,"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
2524,he helped make the yankees the best team ever.,"and ruth was a good person, too."
2525,"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
2526,he always visited hospitals to cheer up sick kids.,there will never be another babe.
2527,did you hear what happened at the baseball game?,"no, please tell me."
2528,"no, please tell me.",someone punched out someone.
2529,someone punched out someone.,that's not nice.
2530,that's not nice.,it's worse than that.
2531,it's worse than that.,how so?
2532,how so?,two guys got into an argument.
